"datetime","open","high","low","close","numEvents","volume","value"
2017-01-05 09:31:00,48.91,48.95,48.91,48.91,95,44166,2160492.5
2017-01-05 09:32:00,48.91,48.93,48.91,48.93,46,7124,348481.5
2017-01-05 09:33:00,48.94,48.98,48.94,48.98,78,19388,949162.75
2017-01-05 09:34:00,48.9737,49,48.9634,49,115,35733,1750003.875
2017-01-05 09:35:00,48.99,49.01,48.97,49.01,105,45438,2225753
2017-01-05 09:36:00,49.01,49.06,49.01,49.05,73,15724,770968.625
2017-01-05 09:37:00,49.04,49.0499,49.02,49.03,68,14015,687258.25
2017-01-05 09:38:00,49.0244,49.06,49.0244,49.06,64,17465,856663.9375
2017-01-05 09:39:00,49.06,49.06,49.0358,49.05,101,50189,2461837
2017-01-05 09:40:00,49.055,49.06,49.045,49.06,94,27822,1364808
2017-01-05 09:41:00,49.07,49.095,49.07,49.079,67,17209,844615.125
2017-01-05 09:42:00,49.08,49.1,49.07,49.0701,51,14343,703875.625
2017-01-05 09:43:00,49.08,49.09,49.08,49.09,69,32514,1595929.25
2017-01-05 09:44:00,49.097,49.1142,49.097,49.11,32,6628,325455.875
2017-01-05 09:45:00,49.1,49.11,49.08,49.09,70,23261,1141924.625
2017-01-05 09:46:00,49.09,49.1,49.08,49.095,62,15500,760905.8125
2017-01-05 09:47:00,49.1,49.115,49.1,49.11,35,6175,303240.5
2017-01-05 09:48:00,49.1,49.11,49.1,49.105,22,3200,157128
2017-01-05 09:49:00,49.11,49.13,49.1031,49.12,77,15868,779391.125
2017-01-05 09:50:00,49.12,49.13,49.11,49.12,49,7618,374196.8125
2017-01-05 09:51:00,49.125,49.125,49.1,49.105,46,40178,1973184
2017-01-05 09:52:00,49.109,49.11,49.09,49.105,44,10176,499643.4375
2017-01-05 09:53:00,49.11,49.13,49.11,49.11,43,8360,410608.375
2017-01-05 09:54:00,49.11,49.125,49.11,49.115,55,22433,1101780.75
2017-01-05 09:55:00,49.115,49.13,49.11,49.13,25,3000,147350.6875
2017-01-05 09:56:00,49.1354,49.14,49.129,49.14,150,46650,2291937.75
2017-01-05 09:57:00,49.15,49.16,49.15,49.15,33,6500,319515.5938
2017-01-05 09:58:00,49.155,49.155,49.12,49.12,98,32811,1612360.75
2017-01-05 09:59:00,49.11,49.11,49.095,49.095,10,2900,142390
2017-01-05 10:00:00,49.09,49.11,49.09,49.09,29,6410,314729
2017-01-05 10:01:00,49.1,49.12,49.1,49.111,44,10158,498903.75
2017-01-05 10:02:00,49.12,49.12,49.08,49.08,84,27340,1342366.25
2017-01-05 10:03:00,49.08,49.085,49.07,49.08,85,30078,1476001
2017-01-05 10:04:00,49.08,49.08,49.05,49.05,24,4924,241560.8125
2017-01-05 10:05:00,49.04,49.05,49.04,49.05,23,5869,287873.2813
2017-01-05 10:06:00,49.06,49.07,49.06,49.0657,40,11150,547066.5625
2017-01-05 10:07:00,49.06,49.07,49.055,49.07,34,11741,576020.4375
2017-01-05 10:08:00,49.07,49.095,49.07,49.0943,27,9700,476143.375
2017-01-05 10:09:00,49.1,49.111,49.1,49.11,21,4171,204831
2017-01-05 10:10:00,49.11,49.11,49.085,49.1,134,42717,2097372
2017-01-05 10:11:00,49.11,49.13,49.11,49.12,65,15846,778341.125
2017-01-05 10:12:00,49.115,49.125,49.11,49.125,18,5128,251878.9844
2017-01-05 10:13:00,49.13,49.1369,49.12,49.12,51,16785,824569.0625
2017-01-05 10:14:00,49.12,49.12,49.115,49.12,15,3551,174416.125
2017-01-05 10:15:00,49.12,49.13,49.12,49.125,18,5294,260044.5469
2017-01-05 10:16:00,49.13,49.14,49.13,49.13,34,5755,282763.8125
2017-01-05 10:17:00,49.13,49.13,49.13,49.13,19,2730,134124.9063
2017-01-05 10:18:00,49.13,49.155,49.1225,49.15,61,25074,1232167.25
2017-01-05 10:19:00,49.149,49.149,49.12,49.12,76,29197,1434407.875
2017-01-05 10:20:00,49.12,49.12,49.1,49.115,57,16225,796815.875
2017-01-05 10:21:00,49.11,49.11,49.1001,49.11,28,8975,440740.6563
2017-01-05 10:22:00,49.11,49.11,49.08,49.09,42,9529,467792.1563
2017-01-05 10:23:00,49.08,49.08,49.06,49.08,35,11757,576934
2017-01-05 10:24:00,49.085,49.09,49.08,49.08,17,8528,418618.9375
2017-01-05 10:25:00,49.09,49.1,49.0835,49.095,38,97040,4764469.5
2017-01-05 10:26:00,49.1,49.105,49.095,49.105,45,12030,590684
2017-01-05 10:27:00,49.105,49.105,49.095,49.1,125,30438,1494534.875
2017-01-05 10:28:00,49.1,49.1,49.0934,49.1,25,7563,371336.9063
2017-01-05 10:29:00,49.1,49.105,49.095,49.095,38,8847,434384.1875
2017-01-05 10:30:00,49.1,49.11,49.09,49.09,71,17275,848138.6875
2017-01-05 10:31:00,49.09,49.1,49.07,49.07,159,37652,1848360
2017-01-05 10:32:00,49.075,49.0799,49.05,49.05,46,9476,464927.1875
2017-01-05 10:33:00,49.0501,49.0501,49.04,49.045,48,26194,1284808.5
2017-01-05 10:34:00,49.04,49.05,49.035,49.035,32,5562,272763.125
2017-01-05 10:35:00,49.04,49.07,49.04,49.06,33,5435,266629.0938
2017-01-05 10:36:00,49.06,49.07,49.059,49.059,186,35878,1760259.25
2017-01-05 10:37:00,49.05,49.05,49.0465,49.05,29,6175,302883.0625
2017-01-05 10:38:00,49.046,49.046,49.04,49.04,29,5355,262614.3438
2017-01-05 10:39:00,49.05,49.07,49.045,49.06,19,13182,646740.125
2017-01-05 10:40:00,49.07,49.0765,49.0699,49.0699,47,6660,326821.3125
2017-01-05 10:41:00,49.06,49.07,49.06,49.06,146,27846,1366202.5
2017-01-05 10:42:00,49.06,49.06,49.055,49.0562,7,1627,79815.8203
2017-01-05 10:43:00,49.0537,49.055,49.05,49.05,113,51909,2546143.25
2017-01-05 10:44:00,49.05,49.05,49.04,49.04,48,22650,1110955.625
2017-01-05 10:45:00,49.04,49.05,49.025,49.03,48,15531,761579.5
2017-01-05 10:46:00,49.035,49.035,49.029,49.03,33,8700,426568.6875
2017-01-05 10:47:00,49.02,49.0287,49.0001,49.0001,86,18148,889578.375
2017-01-05 10:48:00,49.01,49.01,48.99,49,72,35471,1738102
2017-01-05 10:49:00,49,49.02,49,49.02,20,5094,249655.0156
2017-01-05 10:50:00,49.03,49.03,49.02,49.03,8,1720,84325.8281
2017-01-05 10:51:00,49.03,49.03,49.025,49.025,4,3032,148658.4531
2017-01-05 10:52:00,49.02,49.0266,49.015,49.02,91,28741,1408889.75
2017-01-05 10:53:00,49.0161,49.02,49,49,22,4437,217438.1406
2017-01-05 10:54:00,48.9901,49.01,48.9901,49,27,11064,542188.6875
2017-01-05 10:55:00,49,49.02,49,49.0157,38,9490,465093.9375
2017-01-05 10:56:00,49.01,49.01,49,49,34,5292,259316
2017-01-05 10:57:00,49.0001,49.01,49.0001,49.01,11,1400,68612.0156
2017-01-05 10:58:00,49.0134,49.05,49.0134,49.04,36,9793,480182.5
2017-01-05 10:59:00,49.0401,49.05,49.04,49.04,46,11150,546811.375
2017-01-05 11:00:00,49.05,49.07,49.05,49.05,36,8400,412066.5
2017-01-05 11:01:00,49.04,49.055,49.04,49.05,42,8103,397447.6563
2017-01-05 11:02:00,49.06,49.06,49.05,49.06,16,2400,117733.1016
2017-01-05 11:03:00,49.06,49.06,49.035,49.035,30,4600,225635.5
2017-01-05 11:04:00,49.035,49.05,49.035,49.05,14,1700,83380.5
2017-01-05 11:05:00,49.05,49.05,49.025,49.025,40,11135,545970.375
2017-01-05 11:06:00,49.02,49.025,48.975,48.975,61,19867,973601
2017-01-05 11:07:00,48.9701,48.98,48.955,48.956,40,7674,375790.4688
2017-01-05 11:08:00,48.95,48.95,48.92,48.92,102,61992,3033529
2017-01-05 11:09:00,48.915,48.915,48.89,48.89,28,4482,219159
2017-01-05 11:10:00,48.885,48.91,48.885,48.9,40,6870,335944.8438
2017-01-05 11:11:00,48.9,48.9001,48.9,48.9001,8,2641,129145.0156
2017-01-05 11:12:00,48.91,48.916,48.9001,48.916,36,7812,382080.0313
2017-01-05 11:13:00,48.92,48.9286,48.9001,48.9001,32,5196,254178.2188
2017-01-05 11:14:00,48.905,48.905,48.89,48.89,13,4640,226888.4219
2017-01-05 11:15:00,48.89,48.9109,48.89,48.9001,21,3115,152329.9688
2017-01-05 11:16:00,48.91,48.91,48.89,48.905,16,3479,170134.3125
2017-01-05 11:17:00,48.91,48.915,48.91,48.915,17,2100,102719.5
2017-01-05 11:18:00,48.91,48.9157,48.91,48.9157,244,212109,10374263
2017-01-05 11:19:00,48.92,48.93,48.9167,48.93,26,5100,249533.5625
2017-01-05 11:20:00,48.93,48.94,48.93,48.94,37,6305,308529.3438
2017-01-05 11:21:00,48.94,48.94,48.93,48.9386,32,6592,322593.5
2017-01-05 11:22:00,48.935,48.94,48.92,48.925,155,31178,1525406.25
2017-01-05 11:23:00,48.92,48.93,48.92,48.93,19,3347,163758.2813
2017-01-05 11:24:00,48.93,48.93,48.9032,48.91,62,15680,767017.1875
2017-01-05 11:25:00,48.91,48.94,48.91,48.94,51,9064,443524.4688
2017-01-05 11:26:00,48.9333,48.935,48.93,48.93,18,2218,108531.7188
2017-01-05 11:27:00,48.925,48.9354,48.92,48.9262,26,6703,327964.2188
2017-01-05 11:28:00,48.93,48.949,48.93,48.949,52,16650,814751.75
2017-01-05 11:29:00,48.94,48.94,48.9043,48.91,52,14181,693827.625
2017-01-05 11:30:00,48.92,48.93,48.915,48.92,32,4518,221023.1563
2017-01-05 11:31:00,48.91,48.92,48.91,48.91,23,2700,132061.5
2017-01-05 11:32:00,48.91,48.93,48.905,48.93,56,11013,538695.75
2017-01-05 11:33:00,48.93,48.93,48.909,48.91,186,30228,1478566.625
2017-01-05 11:34:00,48.91,48.915,48.9,48.9,28,4500,220077
2017-01-05 11:35:00,48.89,48.8989,48.8856,48.8989,19,3712,181488.9688
2017-01-05 11:36:00,48.895,48.9067,48.895,48.905,6,725,35454.0078
2017-01-05 11:37:00,48.9,48.91,48.874,48.8899,28,5998,293275.875
2017-01-05 11:38:00,48.88,48.8857,48.88,48.8857,22,3430,167661.9219
2017-01-05 11:39:00,48.89,48.9,48.89,48.895,19,3700,180898.5
2017-01-05 11:40:00,48.9,48.91,48.9,48.91,20,2800,136926.5
2017-01-05 11:41:00,48.91,48.91,48.905,48.905,6,710,34724.6016
2017-01-05 11:42:00,48.9,48.905,48.89,48.89,35,6768,330942.125
2017-01-05 11:43:00,48.89,48.89,48.85,48.85,41,8598,420261.5
2017-01-05 11:44:00,48.86,48.8757,48.86,48.86,54,23794,1162600.875
2017-01-05 11:45:00,48.86,48.87,48.855,48.86,38,8339,407454.0313
2017-01-05 11:46:00,48.855,48.8604,48.85,48.8604,24,3525,172225.8594
2017-01-05 11:47:00,48.865,48.8857,48.865,48.8801,23,5975,292032.375
2017-01-05 11:48:00,48.89,48.905,48.89,48.9,27,5300,259168.4375
2017-01-05 11:49:00,48.9,48.9267,48.9,48.9267,15,2181,106687.8906
