"datetime","open","high","low","close","numEvents","volume","value"
2017-01-13 09:31:00,48.48,48.53,48.42,48.53,88,44411,2153463.75
2017-01-13 09:32:00,48.54,48.58,48.5,48.53,285,82721,4015338.5
2017-01-13 09:33:00,48.53,48.54,48.47,48.53,261,65755,3189982.5
2017-01-13 09:34:00,48.54,48.575,48.5349,48.55,182,34061,1653792.75
2017-01-13 09:35:00,48.555,48.56,48.53,48.54,213,51687,2509291.5
2017-01-13 09:36:00,48.54,48.54,48.42,48.42,446,119079,5774154
2017-01-13 09:37:00,48.427,48.55,48.405,48.41,558,311610,15109308
2017-01-13 09:38:00,48.41,48.41,48.35,48.36,577,142426,6891138.5
2017-01-13 09:39:00,48.37,48.43,48.37,48.41,219,48147,2330045.5
2017-01-13 09:40:00,48.415,48.48,48.41,48.47,521,150059,7270669
2017-01-13 09:41:00,48.47,48.475,48.43,48.47,412,121258,5875070
2017-01-13 09:42:00,48.46,48.53,48.45,48.53,363,219408,10637965
2017-01-13 09:43:00,48.5201,48.53,48.49,48.5,205,69858,3388919.5
2017-01-13 09:44:00,48.5,48.54,48.49,48.54,194,48929,2373631.5
2017-01-13 09:45:00,48.53,48.53,48.47,48.47,192,51961,2520001.25
2017-01-13 09:46:00,48.47,48.49,48.41,48.43,253,65380,3167023.75
2017-01-13 09:47:00,48.43,48.44,48.39,48.39,271,50168,2429285.5
2017-01-13 09:48:00,48.39,48.44,48.37,48.43,473,115445,5590029
2017-01-13 09:49:00,48.43,48.43,48.41,48.42,78,15700,760214
2017-01-13 09:50:00,48.42,48.45,48.42,48.43,83,18179,880470
2017-01-13 09:51:00,48.44,48.46,48.43,48.46,121,18883,914799.375
2017-01-13 09:52:00,48.46,48.48,48.43,48.46,172,39149,1896914.375
2017-01-13 09:53:00,48.46,48.48,48.45,48.46,108,17311,838916.125
2017-01-13 09:54:00,48.455,48.463,48.435,48.45,133,22999,1114371.875
2017-01-13 09:55:00,48.46,48.48,48.45,48.48,237,48472,2349495.75
2017-01-13 09:56:00,48.48,48.48,48.415,48.415,317,104910,5084190
2017-01-13 09:57:00,48.415,48.44,48.41,48.41,109,17501,847470.125
2017-01-13 09:58:00,48.41,48.47,48.41,48.46,389,129396,6268503.5
2017-01-13 09:59:00,48.46,48.5,48.46,48.49,342,104276,5054670
2017-01-13 10:00:00,48.49,48.52,48.465,48.48,265,74702,3622420
2017-01-13 10:01:00,48.48,48.54,48.48,48.48,256,64143,3110990.25
2017-01-13 10:02:00,48.48,48.48,48.44,48.46,283,56231,2724707.75
2017-01-13 10:03:00,48.47,48.47,48.44,48.45,115,25294,1225783.5
2017-01-13 10:04:00,48.45,48.45,48.4,48.43,107,25410,1230430.125
2017-01-13 10:05:00,48.4338,48.4338,48.4,48.41,204,47593,2304186.75
2017-01-13 10:06:00,48.41,48.46,48.39,48.45,114,30589,1481502.375
2017-01-13 10:07:00,48.44,48.44,48.4,48.43,109,33954,1644081.625
2017-01-13 10:08:00,48.43,48.43,48.41,48.42,89,19116,925630.875
2017-01-13 10:09:00,48.4135,48.45,48.41,48.43,53,23909,1158071.25
2017-01-13 10:10:00,48.43,48.45,48.42,48.45,300,77713,3764384.75
2017-01-13 10:11:00,48.45,48.47,48.44,48.45,215,52467,2542061.5
2017-01-13 10:12:00,48.45,48.46,48.44,48.45,50,7744,375200.375
2017-01-13 10:13:00,48.45,48.457,48.43,48.43,169,138993,6732011.5
2017-01-13 10:14:00,48.43,48.44,48.4,48.44,132,30539,1478524.125
