"datetime","open","high","low","close","numEvents","volume","value"
2017-01-06 09:31:00,48.44,48.5,48.35,48.44,356,105055,5090317
2017-01-06 09:32:00,48.45,48.45,48.41,48.45,168,38200,1850343.625
2017-01-06 09:33:00,48.45,48.48,48.43,48.48,314,83097,4026400.5
2017-01-06 09:34:00,48.475,48.5,48.45,48.49,428,104204,5051663
2017-01-06 09:35:00,48.5,48.535,48.5,48.53,320,98768,4792462
2017-01-06 09:36:00,48.525,48.525,48.46,48.47,400,122037,5917624
2017-01-06 09:37:00,48.47,48.51,48.465,48.51,262,66694,3233697.75
2017-01-06 09:38:00,48.52,48.53,48.48,48.52,453,120225,5831492
2017-01-06 09:39:00,48.51,48.51,48.47,48.51,241,69045,3347987
2017-01-06 09:40:00,48.5099,48.5099,48.45,48.46,355,84662,4103380
2017-01-06 09:41:00,48.455,48.46,48.44,48.44,149,29176,1413727.5
2017-01-06 09:42:00,48.44,48.46,48.43,48.43,78,14423,698675.5625
2017-01-06 09:43:00,48.425,48.46,48.41,48.46,295,66609,3226007.25
2017-01-06 09:44:00,48.46,48.46,48.41,48.43,208,38010,1841323.875
2017-01-06 09:45:00,48.435,48.45,48.43,48.45,56,9500,460180.8125
2017-01-06 09:46:00,48.44,48.45,48.43,48.44,131,23789,1152426.625
2017-01-06 09:47:00,48.445,48.46,48.445,48.46,42,6793,329123.3125
2017-01-06 09:48:00,48.46,48.46,48.41,48.41,128,31426,1522067.375
2017-01-06 09:49:00,48.42,48.43,48.41,48.43,100,18753,908089.5
2017-01-06 09:50:00,48.42,48.45,48.41,48.41,565,137504,6659465
2017-01-06 09:51:00,48.41,48.46,48.4,48.455,305,66901,3239281
2017-01-06 09:52:00,48.47,48.51,48.45,48.49,394,85139,4127653
2017-01-06 09:53:00,48.49,48.495,48.475,48.48,104,26270,1273715.5
2017-01-06 09:54:00,48.48,48.48,48.455,48.47,71,15454,748995.875
2017-01-06 09:55:00,48.46,48.465,48.44,48.44,96,20853,1010277.1875
2017-01-06 09:56:00,48.433,48.4363,48.41,48.425,187,38991,1887762.875
2017-01-06 09:57:00,48.43,48.455,48.43,48.4401,125,29641,1435805.875
2017-01-06 09:58:00,48.45,48.46,48.45,48.45,27,5700,276166
2017-01-06 09:59:00,48.45,48.48,48.45,48.48,127,43388,2102975.5
2017-01-06 10:00:00,48.48,48.51,48.48,48.5,90,29504,1430888.625
2017-01-06 10:01:00,48.5,48.505,48.495,48.5,51,10934,530313.375
2017-01-06 10:02:00,48.5,48.51,48.46,48.47,189,59657,2892165.5
2017-01-06 10:03:00,48.47,48.475,48.43,48.43,137,31297,1516172.25
2017-01-06 10:04:00,48.4386,48.47,48.43,48.46,143,27016,1308864.125
2017-01-06 10:05:00,48.46,48.46,48.43,48.43,49,7159,346851.8125
2017-01-06 10:06:00,48.435,48.465,48.435,48.44,118,19659,952485.1875
2017-01-06 10:07:00,48.44,48.45,48.42,48.429,69,12222,591997.25
2017-01-06 10:08:00,48.43,48.435,48.42,48.435,39,5939,287625.25
2017-01-06 10:09:00,48.43,48.46,48.43,48.4551,76,20130,975163.9375
2017-01-06 10:10:00,48.46,48.47,48.46,48.47,29,4400,213230.6094
2017-01-06 10:11:00,48.47,48.47,48.43,48.44,183,36142,1750845.625
2017-01-06 10:12:00,48.44,48.47,48.44,48.4699,79,16423,795793.875
2017-01-06 10:13:00,48.47,48.48,48.4637,48.47,91,18212,882738.4375
2017-01-06 10:14:00,48.47,48.48,48.46,48.46,42,13800,668887.125
2017-01-06 10:15:00,48.4678,48.495,48.4678,48.49,53,11973,580470.875
2017-01-06 10:16:00,48.5,48.51,48.5,48.51,12,5000,242540.7969
2017-01-06 10:17:00,48.51,48.55,48.51,48.53,325,102847,4991995.5
2017-01-06 10:18:00,48.53,48.555,48.53,48.54,141,29360,1425152.25
2017-01-06 10:19:00,48.5301,48.54,48.51,48.51,79,15716,762746.6875
2017-01-06 10:20:00,48.515,48.53,48.505,48.51,146,36202,1756589.375
2017-01-06 10:21:00,48.52,48.52,48.4824,48.49,87,20701,1003947.5625
2017-01-06 10:22:00,48.49,48.5,48.48,48.48,22,2800,135771.5
2017-01-06 10:23:00,48.48,48.51,48.48,48.5001,80,19509,946167.9375
2017-01-06 10:24:00,48.5014,48.51,48.5,48.5,35,10011,485541.125
