"datetime","open","high","low","close","numEvents","volume","value"
2017-01-18 09:31:00,74.43,74.44,74.34,74.41,718,147310,10958993
2017-01-18 09:32:00,74.42,74.54,74.42,74.53,453,77739,5790307.5
2017-01-18 09:33:00,74.53,74.62,74.53,74.59,358,67974,5069657.5
2017-01-18 09:34:00,74.59,74.59,74.44,74.46,1556,300509,22383534
2017-01-18 09:35:00,74.46,74.477,74.4158,74.43,464,76069,5662908.5
2017-01-18 09:36:00,74.43,74.44,74.38,74.41,366,52264,3889422.75
2017-01-18 09:37:00,74.41,74.48,74.38,74.41,255,34889,2596994.5
2017-01-18 09:38:00,74.4,74.45,74.38,74.45,273,41387,3080075.75
2017-01-18 09:39:00,74.44,74.49,74.43,74.4465,256,36465,2715091
2017-01-18 09:40:00,74.45,74.52,74.45,74.52,185,24037,1790467.5
2017-01-18 09:41:00,74.52,74.55,74.49,74.54,261,40797,3040459.25
2017-01-18 09:42:00,74.54,74.55,74.46,74.51,448,55487,4133349
2017-01-18 09:43:00,74.51,74.51,74.46,74.4968,169,23554,1754245.125
2017-01-18 09:44:00,74.5,74.51,74.48,74.4932,170,24738,1842942.5
2017-01-18 09:45:00,74.5,74.52,74.46,74.5,176,29891,2226571
2017-01-18 09:46:00,74.51,74.54,74.5,74.52,228,32115,2393186.5
2017-01-18 09:47:00,74.52,74.52,74.485,74.52,81,9660,719709.0625
2017-01-18 09:48:00,74.5147,74.54,74.49,74.515,89,15451,1151315.5
2017-01-18 09:49:00,74.53,74.56,74.53,74.54,58,8472,631535.6875
2017-01-18 09:50:00,74.52,74.54,74.5,74.54,134,15879,1183333.25
2017-01-18 09:51:00,74.53,74.54,74.51,74.51,270,37075,2763023
2017-01-18 09:52:00,74.51,74.53,74.5,74.53,57,8562,638060.375
2017-01-18 09:53:00,74.524,74.535,74.51,74.52,80,8877,661517.75
2017-01-18 09:54:00,74.52,74.53,74.515,74.53,130,20831,1552460.75
2017-01-18 09:55:00,74.53,74.5369,74.46,74.47,259,41184,3068657.75
2017-01-18 09:56:00,74.49,74.5165,74.48,74.49,92,16702,1244178.375
2017-01-18 09:57:00,74.49,74.515,74.484,74.515,41,5739,427544.75
2017-01-18 09:58:00,74.52,74.5364,74.52,74.52,45,7817,582575.1875
2017-01-18 09:59:00,74.51,74.51,74.4632,74.47,110,14935,1112468.125
2017-01-18 10:00:00,74.47,74.53,74.47,74.53,65,10811,805383.4375
2017-01-18 10:01:00,74.53,74.585,74.53,74.585,138,22108,1648508.875
2017-01-18 10:02:00,74.58,74.59,74.56,74.57,120,16172,1206014.375
2017-01-18 10:03:00,74.58,74.605,74.58,74.58,147,23789,1774539.375
2017-01-18 10:04:00,74.58,74.58,74.55,74.57,34,3400,253524.5
2017-01-18 10:05:00,74.57,74.605,74.565,74.605,64,8061,601228.875
2017-01-18 10:06:00,74.6063,74.65,74.6,74.64,46,6343,473323.375
2017-01-18 10:07:00,74.635,74.635,74.6,74.61,92,14322,1068627.875
2017-01-18 10:08:00,74.61,74.615,74.58,74.59,42,5306,395803.3438
2017-01-18 10:09:00,74.6,74.62,74.58,74.615,49,8656,645781.625
2017-01-18 10:10:00,74.62,74.665,74.6,74.6,127,15424,1151250
2017-01-18 10:11:00,74.6,74.63,74.6,74.6161,47,5113,381486.4063
2017-01-18 10:12:00,74.61,74.63,74.605,74.6162,57,25081,1871702.875
2017-01-18 10:13:00,74.61,74.63,74.61,74.6192,80,10601,790981.625
2017-01-18 10:14:00,74.63,74.655,74.63,74.65,51,10015,747589.9375
2017-01-18 10:15:00,74.65,74.655,74.64,74.645,32,5602,418178.1563
2017-01-18 10:16:00,74.6464,74.65,74.62,74.645,103,16673,1244371.375
2017-01-18 10:17:00,74.64,74.65,74.63,74.65,71,20834,1555066.625
2017-01-18 10:18:00,74.66,74.67,74.645,74.66,67,8851,660775.5625
2017-01-18 10:19:00,74.67,74.67,74.635,74.64,101,13743,1025851.25
2017-01-18 10:20:00,74.64,74.64,74.62,74.62,151,17397,1298324
2017-01-18 10:21:00,74.62,74.63,74.61,74.61,26,4369,326011
2017-01-18 10:22:00,74.61,74.63,74.605,74.63,28,4006,298902.0625
2017-01-18 10:23:00,74.62,74.625,74.59,74.59,48,5033,375525.7188
2017-01-18 10:24:00,74.5943,74.5972,74.56,74.56,29,6830,509400.875
2017-01-18 10:25:00,74.565,74.565,74.55,74.5537,143,18592,1386198.875
2017-01-18 10:26:00,74.56,74.57,74.52,74.53,115,16867,1257275
2017-01-18 10:27:00,74.53,74.53,74.49,74.52,56,6411,477666.625
2017-01-18 10:28:00,74.52,74.53,74.49,74.49,26,5929,441834.9063
2017-01-18 10:29:00,74.5,74.51,74.49,74.505,96,15478,1153150.75
2017-01-18 10:30:00,74.5099,74.52,74.5,74.51,62,11434,851937.6875
2017-01-18 10:31:00,74.51,74.54,74.5,74.54,40,4943,368361.0313
2017-01-18 10:32:00,74.54,74.54,74.52,74.54,21,3452,257288.0313
2017-01-18 10:33:00,74.54,74.595,74.535,74.586,66,10559,787316.9375
2017-01-18 10:34:00,74.58,74.585,74.55,74.57,80,9720,724833.5
2017-01-18 10:35:00,74.57,74.589,74.5601,74.589,24,4047,301804.9688
2017-01-18 10:36:00,74.59,74.6,74.585,74.6,50,6296,469623.1875
2017-01-18 10:37:00,74.6,74.605,74.58,74.6,35,4625,345001.8438
2017-01-18 10:38:00,74.6,74.616,74.59,74.59,21,2229,166285.0625
2017-01-18 10:39:00,74.5873,74.61,74.5837,74.609,28,4643,346366.4063
2017-01-18 10:40:00,74.6065,74.61,74.57,74.5766,45,8609,642205.75
2017-01-18 10:41:00,74.57,74.57,74.54,74.54,72,9683,721822.5625
2017-01-18 10:42:00,74.55,74.56,74.55,74.5599,46,5330,397379.9063
2017-01-18 10:43:00,74.56,74.57,74.5535,74.56,42,6663,496811.2813
2017-01-18 10:44:00,74.56,74.57,74.544,74.56,53,6011,448170.4688
2017-01-18 10:45:00,74.56,74.585,74.55,74.5536,75,11053,824150.625
2017-01-18 10:46:00,74.56,74.57,74.53,74.53,67,8705,648918.9375
2017-01-18 10:47:00,74.52,74.539,74.51,74.52,52,8659,645287.1875
2017-01-18 10:48:00,74.52,74.545,74.52,74.535,26,3300,245958.3594
2017-01-18 10:49:00,74.52,74.53,74.52,74.525,39,6275,467648.875
2017-01-18 10:50:00,74.52,74.53,74.515,74.53,23,2300,171400
2017-01-18 10:51:00,74.53,74.53,74.51,74.5299,24,3301,245994.2813
